Fecha;Producto;Categoría;Cantidad;Precio;Total;Pago;Costo;;;;
23/11/2023;Sandía;Frutas;8;8.96;71.68;Efectivo;41.49;;;;
15/07/2025;Maíz;Granos;2;20.14;40.28;Plin;34.51;;;;
1/07/2021;Crema;Lácteos;3;54.21;162.63;Yape;96.18;;;;
14/08/2021;Sandía;Frutas;10;93.06;930.6;Tarjeta;793.09;;;;
28/11/2020;Leche;Lácteos;1;98.47;98.47;Yape;64.92;;;;
2/10/2021;Empanada;Panadería;8;80.61;644.88;Efectivo;365.25;;;;
29/02/2024;Pera;Frutas;7;70.08;490.56;Transferencia;358.08;;;;
20/06/2023;Sandía;Frutas;7;25.43;178.01;Tarjeta;110.47;;;;
2/04/2023;Quinua;Granos;10;35.06;350.6;Plin;281.15;;;;
7/05/2022;Lentejas;Granos;5;41.65;208.25;Transferencia;116.83;;;;
25/06/2024;Cerdo;Carnes;2;14.97;29.94;Efectivo;15.01;;;;
11/02/2025;Rosquilla;Panadería;3;65.97;197.91;Plin;159.61;;;;
26/03/2020;Pan francés;Panadería;10;9.1;91;Tarjeta;62.34;;;;
12/12/2020;Azúcar;Abarrotes;2;96.48;192.96;Efectivo;146.06;;;;
26/08/2024;Cordero;Carnes;9;52.02;468.18;Plin;384.85;;;;
19/02/2025;Pan francés;Panadería;2;65.56;131.12;Tarjeta;89.01;;;;
24/03/2024;Maíz;Granos;7;14.31;100.17;Transferencia;86.2;;;;
29/03/2022;Pan integral;Panadería;10;98.33;983.3;Efectivo;562.17;;;;
15/07/2024;Sal;Abarrotes;4;6.5;26;Plin;14.26;;;;
5/12/2024;Aceite;Abarrotes;6;31.48;188.88;Yape;100.58;;;;
17/05/2020;Sandía;Frutas;1;72.17;72.17;Efectivo;46.16;;;;
12/04/2024;Mantequilla;Lácteos;2;43.23;86.46;Plin;49.1;;;;
29/10/2022;Uva;Frutas;10;94.49;944.9;Efectivo;614.4;;;;
4/03/2020;Arvejas;Granos;7;60.08;420.56;Plin;237.52;;;;
7/03/2023;Arroz;Abarrotes;1;93.09;93.09;Transferencia;47.91;;;;
27/11/2022;Pescado;Carnes;2;96.56;193.12;Plin;148.39;;;;
31/07/2021;Yogurt;Lácteos;8;4.32;34.56;Tarjeta;28.96;;;;
11/01/2025;Sandía;Frutas;3;74.97;224.91;Tarjeta;115.55;;;;
1/06/2025;Uva;Frutas;6;99.13;594.78;Transferencia;533.91;;;;
21/04/2024;Kéfir;Lácteos;2;36.78;73.56;Yape;55.43;;;;
30/11/2022;Uva;Frutas;10;33.72;337.2;Transferencia;289.16;;;;
22/02/2023;Lentejas;Granos;4;97.11;388.44;Transferencia;269.44;;;;
23/06/2024;Maíz;Granos;8;31.52;252.16;Plin;209.14;;;;
20/07/2020;Quinua;Granos;4;73.46;293.84;Tarjeta;240.19;;;;
2/01/2022;Galletas;Abarrotes;5;18.47;92.35;Transferencia;53.07;;;;
1/04/2024;Pan francés;Panadería;3;65.6;196.8;Efectivo;115.06;;;;
7/11/2022;Pan integral;Panadería;5;14.58;72.9;Efectivo;64.87;;;;
30/06/2022;Pescado;Carnes;5;86.44;432.2;Plin;372.07;;;;
23/08/2020;Pollo;Carnes;9;40.14;361.26;Efectivo;265.56;;;;
23/09/2024;Res;Carnes;2;91.35;182.7;Yape;153.39;;;;
14/10/2020;Arvejas;Granos;8;63.81;510.48;Efectivo;259.76;;;;
18/06/2020;Sandía;Frutas;6;45.07;270.42;Efectivo;206.18;;;;
24/11/2024;Leche;Lácteos;6;90.52;543.12;Efectivo;465.42;;;;
3/02/2025;Sandía;Frutas;9;54.82;493.38;Transferencia;267.91;;;;
16/02/2021;Plátano;Frutas;3;95.36;286.08;Transferencia;171.59;;;;
13/11/2024;Crema;Lácteos;3;68.93;206.79;Plin;176.33;;;;
20/11/2024;Yogurt;Lácteos;8;10.13;81.04;Yape;48.55;;;;
6/03/2025;Pera;Frutas;2;48.89;97.78;Plin;70.12;;;;
14/04/2025;Aceite;Abarrotes;10;13.46;134.6;Efectivo;89.09;;;;
6/11/2020;Quinua;Granos;9;1.47;13.23;Tarjeta;7.48;;;;
1/01/2025;Melón;Frutas;1;91.87;91.87;Efectivo;82.36;;;;
21/06/2022;Queso;Lácteos;9;75.62;680.58;Plin;495.18;;;;
28/01/2021;Kéfir;Lácteos;7;74.37;520.59;Tarjeta;419.41;;;;
23/04/2022;Sandía;Frutas;1;26.34;26.34;Efectivo;19.72;;;;
30/04/2022;Cordero;Carnes;3;35.69;107.07;Plin;61.22;;;;
11/03/2022;Manzana;Frutas;7;22.25;155.75;Tarjeta;121.41;;;;
24/05/2025;Arroz;Abarrotes;9;37.98;341.82;Yape;262.98;;;;
30/11/2022;Pescado;Carnes;8;15.3;122.4;Tarjeta;98.67;;;;
23/06/2020;Pescado;Carnes;7;64.84;453.88;Yape;319.7;;;;
13/05/2023;Empanada;Panadería;7;69.62;487.34;Plin;301.87;;;;
14/02/2022;Plátano;Frutas;5;53.33;266.65;Transferencia;239.67;;;;
10/06/2023;Leche;Lácteos;8;77.01;616.08;Tarjeta;490.95;;;;
27/08/2025;Fideos;Abarrotes;2;16.68;33.36;Efectivo;17.13;;;;
19/12/2020;Maíz;Granos;10;71.45;714.5;Transferencia;557.32;;;;
28/02/2021;Sal;Abarrotes;8;37.16;297.28;Transferencia;205.88;;;;
13/02/2025;Arroz;Abarrotes;8;63.89;511.12;Plin;278.17;;;;
20/11/2020;Leche;Lácteos;1;29.28;29.28;Transferencia;17.16;;;;
15/09/2020;Plátano;Frutas;9;8.59;77.31;Transferencia;51.66;;;;
27/11/2023;Conserva;Abarrotes;1;7.91;7.91;Transferencia;4.23;;;;
15/02/2021;Sal;Abarrotes;1;49.26;49.26;Plin;42.33;;;;
22/06/2024;Res;Carnes;5;48.1;240.5;Tarjeta;122.59;;;;
11/06/2021;Rosquilla;Panadería;1;87.05;87.05;Efectivo;48.5;;;;
16/08/2024;Sandía;Frutas;8;54.89;439.12;Transferencia;353.16;;;;
23/11/2022;Leche;Lácteos;9;81.15;730.35;Efectivo;622.09;;;;
29/04/2021;Pan francés;Panadería;3;26.07;78.21;Plin;67.02;;;;
29/09/2021;Manzana;Frutas;5;33.47;167.35;Tarjeta;84.66;;;;
24/01/2023;Cerdo;Carnes;8;65.91;527.28;Yape;287.4;;;;
4/01/2020;Pescado;Carnes;10;77.26;772.6;Tarjeta;418.76;;;;
13/03/2025;Sal;Abarrotes;9;60.43;543.87;Yape;467.71;;;;
20/04/2024;Res;Carnes;2;48.27;96.54;Yape;79.96;;;;
27/09/2022;Pan francés;Panadería;8;62.72;501.76;Tarjeta;387.07;;;;
14/08/2023;Leche;Lácteos;1;67.47;67.47;Efectivo;54.14;;;;
29/08/2025;Melón;Frutas;5;8.52;42.6;Tarjeta;38.14;;;;
22/02/2021;Maíz;Granos;1;2.73;2.73;Efectivo;1.78;;;;
3/11/2020;Trigo;Granos;9;73.26;659.34;Plin;441.46;;;;
21/02/2024;Quinua;Granos;5;25.07;125.35;Tarjeta;93.95;;;;
8/12/2024;Res;Carnes;4;69.07;276.28;Tarjeta;214.01;;;;
14/10/2023;Cerdo;Carnes;2;22.52;45.04;Efectivo;30.29;;;;
7/06/2024;Conserva;Abarrotes;10;24.16;241.6;Yape;125.65;;;;
4/05/2021;Cordero;Carnes;3;85.84;257.52;Plin;173.15;;;;
5/03/2023;Lentejas;Granos;3;50.72;152.16;Tarjeta;109.01;;;;
19/08/2020;Cerdo;Carnes;5;53.98;269.9;Plin;176.81;;;;
13/12/2020;Arvejas;Granos;4;18.08;72.32;Plin;64.56;;;;
28/12/2020;Empanada;Panadería;9;77.17;694.53;Transferencia;622.02;;;;
26/03/2023;Azúcar;Abarrotes;1;61;61;Tarjeta;50.45;;;;
21/04/2024;Frejoles;Granos;10;47.93;479.3;Yape;416.98;;;;
8/11/2024;Queso;Lácteos;1;62.91;62.91;Efectivo;41.85;;;;
11/08/2021;Quinua;Granos;2;93.61;187.22;Transferencia;140.52;;;;
26/10/2024;Lentejas;Granos;3;39.25;117.75;Transferencia;105.34;;;;
31/10/2022;Yogurt;Lácteos;6;60.99;365.94;Yape;296.74;;;;
2/09/2022;Trigo;Granos;9;78.21;703.89;Plin;613.57;;;;
31/01/2022;Pan integral;Panadería;3;44.32;132.96;Yape;71.66;;;;
26/09/2021;Garbanzos;Granos;2;53.93;107.86;Transferencia;71.35;;;;
30/10/2020;Azúcar;Abarrotes;1;64.83;64.83;Plin;57.71;;;;
20/12/2020;Rosquilla;Panadería;10;6.47;64.7;Transferencia;32.61;;;;
12/03/2021;Arroz;Abarrotes;7;35.06;245.42;Efectivo;157.53;;;;
3/05/2022;Empanada;Panadería;8;84.59;676.72;Yape;593.76;;;;
31/10/2020;Yogurt;Lácteos;2;91.48;182.96;Tarjeta;123.03;;;;
17/05/2021;Mantequilla;Lácteos;6;18.85;113.1;Plin;76.3;;;;
10/03/2024;Queque;Panadería;5;68.99;344.95;Yape;288.7;;;;
22/07/2024;Azúcar;Abarrotes;5;60.87;304.35;Plin;208.45;;;;
24/03/2025;Mantequilla;Lácteos;5;68.51;342.55;Plin;179.26;;;;
2/01/2021;Lentejas;Granos;3;73.45;220.35;Efectivo;110.18;;;;
3/08/2025;Melón;Frutas;10;76.77;767.7;Plin;425.34;;;;
29/05/2023;Leche;Lácteos;4;85.66;342.64;Yape;172.83;;;;
29/06/2023;Queque;Panadería;9;7.65;68.85;Efectivo;53.8;;;;
21/04/2023;Pera;Frutas;3;23.61;70.83;Tarjeta;52.16;;;;
14/04/2021;Manzana;Frutas;5;91.97;459.85;Transferencia;367.39;;;;
7/09/2021;Azúcar;Abarrotes;6;3;18;Efectivo;13.41;;;;
4/04/2022;Atún;Abarrotes;1;61.33;61.33;Yape;42.86;;;;
27/01/2023;Garbanzos;Granos;10;70.63;706.3;Yape;425.84;;;;
24/08/2023;Croissant;Panadería;7;68.34;478.38;Yape;319.6;;;;
1/05/2024;Arvejas;Granos;9;61.52;553.68;Yape;364.12;;;;
2/10/2020;Fideos;Abarrotes;4;46.41;185.64;Plin;113.63;;;;
14/04/2022;Pera;Frutas;1;55.65;55.65;Transferencia;38.51;;;;
29/06/2023;Azúcar;Abarrotes;7;16.19;113.33;Yape;81.31;;;;
10/10/2023;Arvejas;Granos;6;13.89;83.34;Efectivo;47.43;;;;
22/04/2021;Cerdo;Carnes;10;5.22;52.2;Transferencia;27.76;;;;
10/12/2023;Maíz;Granos;2;42.7;85.4;Tarjeta;64.82;;;;
8/10/2022;Pollo;Carnes;5;88;440;Transferencia;239.72;;;;
22/06/2024;Cerdo;Carnes;3;27.1;81.3;Tarjeta;45.77;;;;
3/06/2022;Kéfir;Lácteos;4;35.05;140.2;Efectivo;94.09;;;;
31/10/2023;Naranja;Frutas;10;22.96;229.6;Tarjeta;145.77;;;;
10/02/2022;Pollo;Carnes;4;36.99;147.96;Efectivo;74.79;;;;
12/11/2023;Trigo;Granos;4;31.05;124.2;Transferencia;75.31;;;;
27/08/2020;Sandía;Frutas;6;36.06;216.36;Plin;170.12;;;;
21/02/2023;Conserva;Abarrotes;10;79.45;794.5;Plin;634.62;;;;
26/06/2024;Rosquilla;Panadería;4;29.35;117.4;Yape;91.22;;;;
23/01/2023;Quinua;Granos;6;42.36;254.16;Yape;201.29;;;;
19/03/2022;Quinua;Granos;1;89.94;89.94;Plin;49.46;;;;
29/10/2021;Empanada;Panadería;5;30.5;152.5;Efectivo;94.55;;;;
23/10/2021;Empanada;Panadería;3;80.23;240.69;Yape;200.13;;;;
4/03/2021;Lentejas;Granos;10;6.22;62.2;Efectivo;47.2;;;;
29/02/2024;Quinua;Granos;2;80.28;160.56;Efectivo;104.28;;;;
20/04/2024;Conserva;Abarrotes;1;39.97;39.97;Transferencia;20.25;;;;
13/02/2023;Mantequilla;Lácteos;6;38.95;233.7;Yape;175.01;;;;
21/08/2024;Pavo;Carnes;9;3.58;32.22;Tarjeta;21.99;;;;
28/03/2025;Empanada;Panadería;10;36.64;366.4;Plin;228.46;;;;
10/03/2023;Queso;Lácteos;6;19.97;119.82;Transferencia;97.11;;;;
22/09/2023;Maíz;Granos;7;32.21;225.47;Transferencia;133.86;;;;
27/12/2020;Rosquilla;Panadería;8;91.72;733.76;Tarjeta;375.85;;;;
20/01/2020;Trigo;Granos;7;82.79;579.53;Transferencia;348.26;;;;
7/02/2022;Trigo;Granos;4;57.99;231.96;Yape;157.84;;;;
3/08/2022;Crema;Lácteos;3;70.66;211.98;Yape;167.82;;;;
22/09/2020;Croissant;Panadería;6;4.37;26.22;Efectivo;22.65;;;;
4/02/2020;Sandía;Frutas;9;63.13;568.17;Yape;405.68;;;;
15/03/2020;Melón;Frutas;6;48.53;291.18;Yape;216.56;;;;
30/04/2020;Mantequilla;Lácteos;6;60.48;362.88;Transferencia;184.11;;;;
25/09/2023;Fideos;Abarrotes;5;34.59;172.95;Transferencia;141.22;;;;
5/05/2025;Aceite;Abarrotes;3;9.55;28.65;Plin;16.27;;;;
12/05/2024;Lentejas;Granos;5;4.13;20.65;Transferencia;16.06;;;;
22/09/2021;Frejoles;Granos;10;76.6;766;Tarjeta;575.07;;;;
30/04/2025;Quinua;Granos;6;27.3;163.8;Transferencia;86.36;;;;
14/08/2025;Pescado;Carnes;7;29.75;208.25;Yape;128.29;;;;
1/08/2023;Pera;Frutas;1;25.72;25.72;Efectivo;21.6;;;;
7/12/2024;Aceite;Abarrotes;4;69.08;276.32;Efectivo;186.75;;;;
7/02/2022;Galletas;Abarrotes;4;13.44;53.76;Yape;43.51;;;;
29/05/2021;Arroz;Abarrotes;2;99.3;198.6;Tarjeta;139.91;;;;
6/07/2023;Melón;Frutas;2;74.88;149.76;Transferencia;75.29;;;;
30/06/2024;Lentejas;Granos;5;42.14;210.7;Transferencia;161.23;;;;
20/05/2023;Sandía;Frutas;10;29.75;297.5;Yape;179.71;;;;
5/06/2020;Trigo;Granos;10;99.94;999.4;Transferencia;707.28;;;;
12/05/2021;Arvejas;Granos;3;67.03;201.09;Transferencia;115.02;;;;
18/05/2022;Pera;Frutas;2;86.2;172.4;Yape;94.29;;;;
11/01/2020;Pollo;Carnes;8;77.54;620.32;Plin;491.97;;;;
9/09/2023;Leche;Lácteos;2;86.18;172.36;Transferencia;151.33;;;;
8/05/2022;Empanada;Panadería;2;33.8;67.6;Plin;59.11;;;;
25/09/2024;Cordero;Carnes;5;69.54;347.7;Tarjeta;230.57;;;;
15/08/2023;Queso;Lácteos;5;9.86;49.3;Tarjeta;31.45;;;;
19/09/2024;Garbanzos;Granos;7;98.24;687.68;Efectivo;480.76;;;;
8/07/2022;Cerdo;Carnes;10;9.06;90.6;Plin;53;;;;
12/05/2021;Queque;Panadería;10;19.47;194.7;Tarjeta;144.73;;;;
9/01/2023;Uva;Frutas;2;55.42;110.84;Efectivo;83.77;;;;
26/09/2022;Frejoles;Granos;10;30.98;309.8;Plin;272.47;;;;
22/11/2023;Garbanzos;Granos;2;85.93;171.86;Plin;120.15;;;;
9/11/2024;Quinua;Granos;10;60.12;601.2;Efectivo;445.48;;;;
4/05/2024;Pavo;Carnes;2;42.36;84.72;Yape;49.25;;;;
10/08/2024;Plátano;Frutas;7;4.93;34.51;Tarjeta;22.4;;;;
25/02/2022;Res;Carnes;1;82.29;82.29;Plin;56.59;;;;
28/05/2020;Conserva;Abarrotes;8;45.37;362.96;Transferencia;321.29;;;;
24/11/2020;Manzana;Frutas;9;42.82;385.38;Plin;252.59;;;;
8/12/2021;Manzana;Frutas;2;34.72;69.44;Yape;42.58;;;;
23/02/2021;Melón;Frutas;1;97.88;97.88;Plin;71.7;;;;
7/11/2023;Cordero;Carnes;6;68.12;408.72;Yape;291.83;;;;
13/03/2022;Leche;Lácteos;9;50.62;455.58;Yape;326.02;;;;
3/08/2024;Lentejas;Granos;4;23.63;94.52;Yape;51.65;;;;
6/08/2020;Quinua;Granos;9;9.81;88.29;Transferencia;45.65;;;;
13/06/2023;Cordero;Carnes;7;98.48;689.36;Tarjeta;477.52;;;;
16/11/2021;Pan integral;Panadería;2;47.26;94.52;Tarjeta;55.1;;;;
1/06/2020;Atún;Abarrotes;4;42.98;171.92;Plin;120.55;;;;
27/01/2025;Croissant;Panadería;2;68.57;137.14;Tarjeta;112.21;;;;
29/12/2024;Queso;Lácteos;2;2.08;4.16;Transferencia;3.46;;;;
14/05/2025;Rosquilla;Panadería;6;86.24;517.44;Transferencia;381.43;;;;
20/08/2023;Arvejas;Granos;1;67.25;67.25;Yape;41.46;;;;
3/11/2020;Pescado;Carnes;10;67.79;677.9;Tarjeta;386.06;;;;
3/03/2022;Trigo;Granos;9;71.58;644.22;Transferencia;372.24;;;;
17/01/2023;Sandía;Frutas;8;47.83;382.64;Plin;270.51;;;;
11/09/2021;Sal;Abarrotes;1;74.79;74.79;Transferencia;49.87;;;;
30/04/2023;Cerdo;Carnes;4;66.41;265.64;Plin;193.06;;;;
12/02/2024;Pollo;Carnes;5;17.58;87.9;Plin;64.51;;;;
1/06/2023;Fideos;Abarrotes;6;29.36;176.16;Yape;146.64;;;;
29/02/2024;Sandía;Frutas;9;6.25;56.25;Tarjeta;40.07;;;;
10/02/2024;Conserva;Abarrotes;7;79.02;553.14;Yape;478.44;;;;
27/04/2023;Arvejas;Granos;5;23.6;118;Plin;91.68;;;;
8/09/2024;Res;Carnes;8;87.93;703.44;Plin;526.18;;;;
22/06/2020;Azúcar;Abarrotes;7;64.43;451.01;Tarjeta;322.8;;;;
5/07/2023;Maíz;Granos;9;73.14;658.26;Transferencia;503.72;;;;
30/08/2020;Pollo;Carnes;3;63.02;189.06;Transferencia;147.05;;;;
21/08/2024;Empanada;Panadería;4;44.24;176.96;Yape;132.92;;;;
5/02/2023;Pan integral;Panadería;7;41.03;287.21;Yape;244.85;;;;
12/01/2025;Uva;Frutas;4;96.21;384.84;Yape;243.14;;;;
15/08/2024;Yogurt;Lácteos;8;28.91;231.28;Tarjeta;144.46;;;;
10/04/2024;Atún;Abarrotes;9;9.16;82.44;Plin;56.52;;;;
13/07/2023;Arvejas;Granos;10;60.92;609.2;Tarjeta;380.68;;;;
1/06/2023;Lentejas;Granos;6;91.48;548.88;Transferencia;298.78;;;;
29/10/2020;Rosquilla;Panadería;6;22.24;133.44;Transferencia;117.23;;;;
12/09/2021;Pera;Frutas;3;77.04;231.12;Efectivo;157.71;;;;
1/11/2023;Rosquilla;Panadería;10;47.9;479;Transferencia;427.32;;;;
10/02/2023;Leche;Lácteos;5;83.59;417.95;Transferencia;310.19;;;;
27/06/2023;Frejoles;Granos;4;49.98;199.92;Efectivo;117.96;;;;
28/10/2022;Res;Carnes;1;60.98;60.98;Efectivo;43.18;;;;
21/01/2024;Azúcar;Abarrotes;10;30.09;300.9;Plin;247.11;;;;
18/07/2024;Sandía;Frutas;10;96.81;968.1;Plin;484.43;;;;
23/02/2021;Queque;Panadería;5;80.09;400.45;Efectivo;236.73;;;;
11/03/2023;Lentejas;Granos;7;43.79;306.53;Efectivo;161.82;;;;
1/06/2025;Plátano;Frutas;1;37.69;37.69;Transferencia;18.97;;;;
6/01/2024;Pescado;Carnes;8;12.07;96.56;Tarjeta;72.66;;;;
13/11/2023;Trigo;Granos;9;31.1;279.9;Plin;141.07;;;;
9/04/2023;Frejoles;Granos;4;87;348;Transferencia;217.11;;;;
4/11/2023;Arvejas;Granos;2;92.55;185.1;Yape;116.23;;;;
28/07/2024;Pollo;Carnes;7;39.53;276.71;Transferencia;218.65;;;;
11/03/2022;Kéfir;Lácteos;5;87.14;435.7;Yape;267.2;;;;
22/03/2023;Pavo;Carnes;8;57.38;459.04;Transferencia;302.17;;;;
